"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Mister Sam Tribute Whisky","9.51","0.15","4","$$$$$","Rye-like","","","Canada","Blend"
"Port Ellen 2nd release 24yo 59.35%","9.48","0.21","7","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 42yo Dusgadh","9.46","0.24","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Port Ellen 9th release 30yo","9.46","0.11","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Brora 35yo","9.42","0.31","12","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Port Ellen 14th release 35yo","9.38","0.12","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)","9.37","0.22","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Brora 30yo","9.37","0.28","19","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Port Ellen 10th release 31yo","9.36","0.52","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 15th release 32yo","9.34","0.42","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 7th release 28yo","9.31","0.31","4","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Glenfarclas 40yo","9.30","0.28","16","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Caol Ila 30yo","9.30","0.21","12","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 11th release 32yo","9.30","0.44","6","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 35yo","9.3","0.32","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen (all OB releases)","9.28","0.30","19","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Parker’s Heritage 2nd 27yo Kentucky Straight Boubon","9.28","0.35","3","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 22yo Bourbon","9.27","0.07","4","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Ardbeg 23yo Twenty Something","9.26","0.17","6","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Booker's Rye","9.26","0.28","10","$$$$$+","Rye-like","","R4","USA","Rye"
"Pappy Van Winkle Family Reserve Bourbon 15yo","9.23","0.26","11","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Port Ellen 16th release 37yo","9.22","0.37","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 3rd release 24yo","9.22","0.27","9","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Pappy Van Winkle Family Reserve Bourbon 20yo","9.22","0.33","15","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"William Larue Weller","9.22","0.24","16","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Bruichladdich Black Art 6.x 1990","9.21","0.14","6","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Ichiro's Malt The Joker","9.21","0.20","4","$$$$$+","SingleMalt-like","EF","F","Japan","Malt"
"Glengoyne 25yo","9.20","0.23","14","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Port Ellen 6th release 27yo","9.20","0.14","7","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Parker’s Heritage 7th 10yo Promise of Hope","9.20","0.31","9","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Amrut Spectrum (Batch 1)","9.18","0.26","10","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Port Ellen 17th release 37yo","9.18","0.70","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Ellen 4th release 25yo","9.18","0.13","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 30yo","9.18","0.33","13","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Kavalan Solist Moscatel Cask","9.17","0.17","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Ardbeg Uigeadail","9.17","0.39","24","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 16yo","9.17","0.27","28","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box The General","9.17","0.28","10","$$$$$+","Scotch-like","","","Scotland","Blend"
"Highland Park 25yo","9.16","0.16","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 21yo","9.16","0.28","10","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lot 40 Cask Strength (Single Cask)","9.16","0.10","7","$$$$","Rye-like","","","Canada","Rye"
"Elijah Craig 21yo","9.16","0.35","6","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"George T Stagg","9.16","0.26","23","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Highland Park 40yo","9.15","0.44","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Ardbeg 21yo","9.15","0.25","11","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"High West Rocky Mountain Rye 21yo","9.15","0.24","9","$$$$$+","Rye-like","","R4","USA","Rye"
"Lot 40 Cask Strength 11yo (2018)","9.15","0.13","10","$$$$","Rye-like","","","Canada","Rye"
"Hibiki 21yo","9.14","0.24","10","$$$$$+","SingleMalt-like","EF","E","Japan","Blend"
"Compass Box Flaming Heart 2018 6th Edition","9.14","0.23","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 16yo Local Barley","9.14","0.2","11","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 18yo","9.14","0.21","20","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Thomas H. Handy Sazerac","9.13","0.23","18","$$$$$+","Rye-like","","R4","USA","Rye"
"Stagg Jr batch 9 (131.9 proof)","9.13","0.08","5","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey 15yo American Spirit","9.13","0.31","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Bunnahabhain 40yo","9.12","0.35","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Midleton Barry Crockett Legacy","9.12","0.21","12","$$$$$","SingleMalt-like","GH","G","Ireland","Blend"
"Canadian Rockies 21yo (46%, old label)","9.12","0.29","5","$$$$","Rye-like","","","Canada","Blend"
"Aberlour A'Bunadh (Batch 33)","9.11","0.14","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.11","0.09","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1401 (all 9 batches)","9.11","0.28","17","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 30yo","9.11","0.41","13","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 25yo","9.11","0.27","19","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.11","0.47","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Redbreast 21yo","9.11","0.29","17","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Ledaig 42yo","9.11","0.47","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 9.3","9.11","0.19","9","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 12yo Cask Strength","9.11","0.16","23","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.11","0.24","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Willett Family Estate 24yo Bourbon","9.11","0.35","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Amrut Greedy Angels (8yo and 10yo)","9.10","0.16","9","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Yamazaki 18yo","9.1","0.24","21","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Midleton Dair Ghaelach","9.10","0.28","9","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"High West Rocky Mountain Rye 16yo","9.10","0.33","6","$$$$$","Rye-like","","R4","USA","Rye"
"Aberlour A'Bunadh (Batch 40)","9.09","0.13","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist PX Cask","9.09","0.53","8","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Tamdhu 30yo (MacPhail Collection 2009)","9.09","0.12","3","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bruichladdich Black Art 3.x 1989","9.09","0.40","12","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Very Rare 2017","9.09","0.29","4","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Black Bull 40yo","9.09","0.34","12","$$$$$+","Scotch-like","","","Scotland","Blend"
"Barrell Bourbon Batch 015","9.09","0.28","3","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Compass Box Last Vatted Malt","9.08","0.14","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Peated Single Malt Cask Strength","9.08","0.28","13","$$$$","SingleMalt-like","J","J","India","Malt"
"Smooth Ambler Old Scout Single Barrel Rye","9.08","0.18","3","$$$$","Rye-like","","R4","USA","Rye"
"Parker’s Heritage 4th 10yo Wheated Mash Bill Bourbon","9.08","0.22","5","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Aberlour A'Bunadh (Batch 49)","9.07","0.21","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.07","0.17","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Sherry Cask","9.07","0.28","19","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Sheep Dip Old Hebridean 1990 Blended Malt","9.07","0.18","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich Octomore 6.2","9.07","0.19","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"J.P. Wiser's 35yo (2018)","9.07","0.20","5","$$$$$","Rye-like","","","Canada","Rye"
"Barrell Bourbon Batch 006","9.07","0.52","3","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Parker’s Heritage 5th 10yo Cognac Barrel Finished","9.07","0.39","9","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Bowmore Springtide","9.06","0.65","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 16yo Odin","9.06","0.27","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.06","0.3","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Glencadam 25yo","9.06","0.03","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Scotia 25yo","9.06","0.08","3","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Port Ellen 12th release 32yo","9.06","0.48","10","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Ardbeg Supernova 2014","9.06","0.31","15","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lot 40 Cask Strength 12yo (2017)","9.06","0.25","13","$$$$","Rye-like","","","Canada","Rye"
"Aberlour A'Bunadh (Batch 52)","9.05","0.27","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Vinho Barrique","9.05","0.20","15","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Timorous Beastie 21yo Sherry Edition","9.05","0.21","3","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfiddich 30yo","9.05","0.11","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Springbank 11yo Local Barley","9.05","0.21","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 8.2","9.05","0.17","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.3","9.05","0.15","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)","9.05","0.24","5","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Four Roses Small Batch Limited Edition","9.05","0.20","17","$$$$$+","Bourbon-like","","R3","USA","Bourbon"
"Michter's 20yo Single Barrel Bourbon","9.05","0.42","5","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Aberlour A'Bunadh (Batch 53)","9.04","0.13","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.04","0.21","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.04","0.18","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
